pair,surface,thresh,cesf,ret_pct,trades,win,dd,ending
BTCUSDT,perps,,,-1.48,41,0.46,-1.83,788
ETHUSDT,perps,,,2.56,43,0.47,-1.27,820
SOLUSDT,perps,,,1.63,45,0.51,-1.41,813
BNBUSDT,perps,,,1.14,45,0.49,-1.15,809
AVAXUSDT,perps,,,2.89,42,0.50,-0.83,823
ARBUSDT,perps,,,4.85,43,0.47,-4.31,839
OPUSDT,perps,,,1.16,49,0.39,-2.46,809
ADAUSDT,perps,,,1.42,44,0.45,-2.29,811
BTCUSDT,options,,,209.71,38,0.45,-11.34,2478
ETHUSDT,options,,,114.43,43,0.37,-8.80,1715
SOLUSDT,options,,,119.74,41,0.44,-10.48,1758
BNBUSDT,options,,,115.92,37,0.41,-9.61,1727
AVAXUSDT,options,,,427.99,36,0.50,-5.56,4224
ARBUSDT,options,,,103.77,37,0.46,-17.70,1630
OPUSDT,options,,,59.84,38,0.34,-11.94,1279
ADAUSDT,options,,,70.25,37,0.41,-14.24,1362
